Strategy,Score,Number of moves,Highest Tile,Game over,Iteration,Board
Deep-Q-Learning,2,1,2,False,0,"[[0, 0, 2, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]"
Deep-Q-Learning,4,2,2,False,0,"[[0, 0, 0, 2], [0, 0, 0, 2], [0, 0, 0, 0], [0, 0, 0, 0]]"
Deep-Q-Learning,6,3,4,False,0,"[[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 2, 0, 4]]"
Deep-Q-Learning,8,4,4,False,0,"[[0, 4, 0, 4], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]"
Deep-Q-Learning,10,5,8,False,0,"[[0, 0, 0, 8], [0, 0, 0, 2], [0, 0, 0, 0], [0, 0, 0, 0]]"
Deep-Q-Learning,12,6,8,False,0,"[[2, 0, 0, 8], [0, 0, 0, 2], [0, 0, 0, 0], [0, 0, 0, 0]]"
Deep-Q-Learning,14,7,8,False,0,"[[0, 0, 4, 8], [0, 0, 0, 2], [0, 0, 0, 0], [0, 0, 0, 0]]"
Deep-Q-Learning,16,8,8,False,0,"[[2, 4, 8, 0], [2, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]"
Deep-Q-Learning,18,9,8,False,0,"[[4, 4, 8, 2], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]"
Deep-Q-Learning,20,10,8,False,0,"[[8, 8, 2, 0], [2, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]"
Deep-Q-Learning,24,11,16,False,0,"[[16, 2, 0, 0], [2, 0, 0, 0], [4, 0, 0, 0], [0, 0, 0, 0]]"
Deep-Q-Learning,26,12,16,False,0,"[[0, 0, 16, 2], [0, 0, 0, 2], [0, 0, 0, 4], [0, 0, 0, 2]]"
Deep-Q-Learning,28,13,16,False,0,"[[2, 0, 16, 4], [0, 0, 0, 4], [0, 0, 0, 2], [0, 0, 0, 0]]"
Deep-Q-Learning,30,14,16,False,0,"[[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 8], [2, 2, 16, 2]]"
Deep-Q-Learning,32,15,16,False,0,"[[2, 0, 0, 0], [0, 0, 0, 0], [8, 0, 0, 0], [4, 16, 2, 0]]"
Deep-Q-Learning,34,16,16,False,0,"[[0, 0, 0, 2], [0, 0, 0, 0], [0, 0, 8, 2], [0, 4, 16, 2]]"
Deep-Q-Learning,38,17,16,False,0,"[[0, 0, 0, 2], [0, 0, 0, 4], [0, 0, 8, 2], [0, 4, 16, 2]]"
Deep-Q-Learning,40,18,16,False,0,"[[0, 0, 0, 0], [0, 0, 0, 2], [0, 0, 8, 4], [2, 4, 16, 4]]"
Deep-Q-Learning,42,19,16,False,0,"[[0, 0, 0, 0], [0, 0, 0, 0], [0, 2, 8, 2], [2, 4, 16, 8]]"
Deep-Q-Learning,44,20,16,False,0,"[[0, 0, 0, 0], [0, 0, 0, 0], [0, 2, 8, 2], [4, 4, 16, 8]]"
Deep-Q-Learning,48,21,16,False,0,"[[0, 0, 0, 0], [0, 0, 0, 4], [0, 2, 8, 2], [0, 8, 16, 8]]"
Deep-Q-Learning,50,22,16,False,0,"[[0, 0, 0, 0], [0, 0, 0, 4], [0, 2, 8, 2], [2, 8, 16, 8]]"
Deep-Q-Learning,52,23,16,False,0,"[[0, 0, 0, 0], [0, 0, 0, 4], [0, 2, 8, 2], [4, 8, 16, 8]]"
Deep-Q-Learning,54,24,16,False,0,"[[2, 2, 8, 4], [4, 8, 16, 2], [0, 0, 0, 8], [0, 0, 0, 0]]"
Deep-Q-Learning,56,25,16,False,0,"[[4, 8, 4, 0], [4, 8, 16, 2], [8, 0, 0, 0], [2, 0, 0, 0]]"
Deep-Q-Learning,60,26,16,False,0,"[[8, 16, 4, 2], [8, 0, 16, 0], [2, 0, 4, 0], [0, 0, 0, 0]]"
Deep-Q-Learning,62,27,16,False,0,"[[16, 16, 4, 4], [2, 0, 16, 0], [0, 0, 4, 0], [0, 0, 0, 0]]"
Deep-Q-Learning,66,28,32,False,0,"[[0, 0, 32, 8], [0, 0, 2, 16], [0, 0, 0, 4], [0, 0, 0, 4]]"
Deep-Q-Learning,68,29,32,False,0,"[[0, 0, 0, 0], [0, 0, 0, 8], [0, 0, 32, 16], [0, 0, 4, 8]]"
Deep-Q-Learning,70,30,32,False,0,"[[0, 2, 32, 8], [0, 0, 4, 16], [0, 0, 0, 8], [0, 0, 0, 0]]"
Deep-Q-Learning,72,31,32,False,0,"[[2, 2, 32, 8], [0, 0, 4, 16], [0, 0, 0, 8], [0, 0, 0, 0]]"
Deep-Q-Learning,76,32,32,False,0,"[[4, 32, 8, 0], [4, 16, 0, 0], [4, 8, 0, 0], [0, 0, 0, 0]]"
Deep-Q-Learning,78,33,32,False,0,"[[0, 0, 0, 0], [0, 32, 0, 0], [4, 16, 0, 0], [8, 8, 8, 2]]"
Deep-Q-Learning,80,34,32,False,0,"[[0, 0, 0, 0], [0, 0, 0, 32], [0, 4, 16, 2], [0, 8, 16, 2]]"
Deep-Q-Learning,82,35,32,False,0,"[[0, 0, 0, 0], [0, 2, 0, 0], [0, 4, 0, 32], [0, 8, 32, 4]]"
Deep-Q-Learning,84,36,32,False,0,"[[0, 2, 2, 32], [0, 4, 32, 4], [0, 8, 0, 0], [0, 0, 0, 0]]"
Deep-Q-Learning,86,37,32,False,0,"[[4, 2, 32, 0], [4, 32, 4, 0], [8, 0, 0, 0], [0, 0, 0, 0]]"
Deep-Q-Learning,88,38,32,False,0,"[[8, 2, 32, 0], [8, 32, 4, 0], [0, 2, 0, 0], [0, 0, 0, 0]]"
Deep-Q-Learning,90,39,32,False,0,"[[8, 2, 32, 0], [8, 32, 4, 0], [4, 0, 0, 0], [0, 0, 0, 0]]"
Deep-Q-Learning,92,40,32,False,0,"[[16, 2, 32, 0], [4, 32, 4, 0], [0, 0, 2, 0], [0, 0, 0, 0]]"
Deep-Q-Learning,94,41,32,False,0,"[[16, 2, 32, 0], [4, 32, 4, 0], [2, 0, 0, 0], [2, 0, 0, 0]]"
Deep-Q-Learning,96,42,32,False,0,"[[0, 0, 0, 0], [16, 0, 32, 0], [4, 2, 4, 0], [4, 32, 2, 0]]"
Deep-Q-Learning,98,43,32,False,0,"[[0, 0, 0, 0], [0, 0, 32, 0], [16, 2, 4, 0], [8, 32, 2, 2]]"
Deep-Q-Learning,100,44,32,False,0,"[[0, 0, 0, 2], [0, 0, 0, 32], [0, 16, 2, 4], [0, 8, 32, 4]]"
Deep-Q-Learning,102,45,32,False,0,"[[0, 0, 0, 4], [0, 0, 0, 32], [0, 16, 2, 4], [0, 8, 32, 4]]"
Deep-Q-Learning,104,46,32,False,0,"[[0, 0, 0, 0], [0, 0, 0, 4], [0, 16, 2, 32], [2, 8, 32, 8]]"
Deep-Q-Learning,106,47,32,False,0,"[[2, 0, 0, 0], [4, 0, 0, 0], [16, 2, 32, 0], [2, 8, 32, 8]]"
Deep-Q-Learning,108,48,64,False,0,"[[2, 2, 64, 2], [4, 8, 0, 8], [16, 0, 0, 0], [2, 0, 0, 0]]"
Deep-Q-Learning,110,49,64,False,0,"[[0, 4, 64, 2], [0, 0, 4, 16], [0, 0, 0, 16], [0, 0, 0, 4]]"
Deep-Q-Learning,112,50,64,False,0,"[[0, 0, 0, 0], [0, 0, 0, 2], [0, 4, 64, 32], [0, 2, 4, 4]]"
Deep-Q-Learning,114,51,64,False,0,"[[0, 0, 0, 2], [0, 0, 0, 2], [0, 4, 64, 32], [0, 0, 2, 8]]"
Deep-Q-Learning,116,52,64,False,0,"[[2, 0, 0, 0], [4, 0, 0, 0], [4, 64, 32, 0], [2, 8, 0, 0]]"
Deep-Q-Learning,118,53,64,False,0,"[[0, 0, 0, 0], [2, 2, 0, 0], [8, 64, 0, 0], [2, 8, 32, 0]]"
Deep-Q-Learning,120,54,64,False,0,"[[2, 0, 0, 0], [4, 0, 0, 0], [8, 64, 0, 0], [2, 8, 32, 0]]"
Deep-Q-Learning,124,55,64,False,0,"[[2, 64, 32, 4], [4, 8, 0, 0], [8, 0, 0, 0], [2, 0, 0, 0]]"
Deep-Q-Learning,128,56,64,False,0,"[[2, 64, 32, 4], [0, 0, 4, 8], [0, 0, 0, 8], [0, 0, 2, 4]]"
Deep-Q-Learning,130,57,64,False,0,"[[2, 64, 32, 4], [0, 2, 4, 16], [0, 0, 2, 4], [0, 0, 0, 0]]"
Deep-Q-Learning,132,58,64,False,0,"[[4, 64, 32, 4], [0, 2, 4, 16], [0, 0, 2, 4], [0, 0, 0, 0]]"
Deep-Q-Learning,134,59,64,False,0,"[[4, 64, 32, 4], [2, 4, 16, 0], [2, 4, 0, 0], [2, 0, 0, 0]]"
Deep-Q-Learning,136,60,64,False,0,"[[4, 64, 32, 4], [4, 8, 16, 2], [2, 0, 0, 0], [0, 0, 0, 0]]"
Deep-Q-Learning,138,61,64,False,0,"[[0, 0, 0, 0], [0, 0, 0, 0], [8, 64, 32, 4], [4, 8, 16, 2]]"
Deep-Q-Learning,140,62,64,False,0,"[[2, 64, 32, 4], [8, 8, 16, 2], [4, 0, 0, 0], [0, 0, 0, 0]]"
Deep-Q-Learning,144,63,64,False,0,"[[0, 0, 0, 0], [2, 0, 0, 0], [8, 64, 32, 4], [8, 8, 16, 2]]"
Deep-Q-Learning,146,64,64,False,0,"[[2, 0, 0, 0], [2, 0, 0, 0], [8, 64, 32, 4], [16, 16, 2, 0]]"
Deep-Q-Learning,148,65,64,False,0,"[[0, 0, 0, 2], [0, 0, 0, 4], [8, 64, 32, 4], [0, 0, 32, 2]]"
Deep-Q-Learning,150,66,64,False,0,"[[4, 0, 0, 0], [4, 0, 0, 0], [8, 64, 32, 4], [32, 2, 0, 0]]"
Deep-Q-Learning,152,67,64,False,0,"[[8, 2, 32, 4], [8, 64, 0, 0], [32, 2, 0, 0], [0, 0, 0, 0]]"
Deep-Q-Learning,154,68,64,False,0,"[[0, 0, 0, 0], [0, 2, 0, 0], [16, 64, 32, 0], [32, 2, 2, 4]]"
Deep-Q-Learning,156,69,64,False,0,"[[2, 0, 0, 0], [2, 0, 0, 0], [16, 64, 32, 0], [32, 4, 4, 0]]"
Deep-Q-Learning,158,70,64,False,0,"[[4, 0, 0, 0], [2, 0, 0, 0], [16, 64, 32, 0], [32, 8, 0, 0]]"
Deep-Q-Learning,160,71,64,False,0,"[[0, 0, 4, 2], [0, 0, 0, 2], [0, 16, 64, 32], [0, 0, 32, 8]]"
Deep-Q-Learning,162,72,64,False,0,"[[0, 16, 4, 4], [0, 2, 64, 32], [0, 0, 32, 8], [0, 0, 0, 0]]"
Deep-Q-Learning,164,73,64,False,0,"[[0, 0, 16, 8], [0, 2, 64, 32], [0, 0, 32, 8], [0, 0, 0, 2]]"
Deep-Q-Learning,166,74,64,False,0,"[[0, 0, 16, 8], [0, 2, 64, 32], [0, 0, 32, 8], [0, 0, 0, 4]]"
Deep-Q-Learning,168,75,64,False,0,"[[16, 8, 0, 0], [4, 64, 32, 0], [32, 8, 0, 0], [4, 0, 0, 0]]"
Deep-Q-Learning,170,76,64,False,0,"[[16, 0, 0, 0], [4, 8, 0, 0], [32, 64, 32, 0], [4, 8, 2, 0]]"
Deep-Q-Learning,172,77,64,False,0,"[[0, 0, 0, 16], [0, 4, 8, 2], [0, 32, 64, 32], [0, 4, 8, 2]]"
Deep-Q-Learning,174,78,64,False,0,"[[16, 0, 0, 0], [2, 4, 8, 2], [32, 64, 32, 0], [4, 8, 2, 0]]"
Deep-Q-Learning,176,79,64,False,0,"[[16, 0, 2, 0], [2, 4, 8, 0], [32, 64, 32, 0], [4, 8, 2, 2]]"
Deep-Q-Learning,178,80,64,False,0,"[[16, 4, 0, 0], [2, 4, 8, 0], [32, 64, 32, 0], [4, 8, 4, 0]]"
Deep-Q-Learning,180,81,64,False,0,"[[16, 0, 0, 0], [2, 8, 8, 0], [32, 64, 32, 0], [4, 8, 4, 2]]"
Deep-Q-Learning,182,82,64,False,0,"[[16, 0, 0, 0], [2, 8, 8, 0], [32, 64, 32, 0], [4, 8, 4, 4]]"
Deep-Q-Learning,184,83,64,False,0,"[[0, 0, 0, 16], [0, 0, 2, 16], [32, 64, 32, 2], [0, 4, 8, 8]]"
Deep-Q-Learning,186,84,64,False,0,"[[0, 0, 0, 0], [0, 0, 2, 32], [2, 64, 32, 2], [32, 4, 8, 8]]"
Deep-Q-Learning,188,85,64,False,0,"[[0, 0, 0, 0], [4, 32, 0, 0], [2, 64, 32, 2], [32, 4, 16, 0]]"
